cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modelo_comercial,ticket_tipo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,prioridad,ranking_en_cuenta,valor_potencial_eur,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,C-GenIA,C-GenIA,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,12,18305.0,0.0,0.078,0.796,0.951,0.5,37.77,1.0,1.0,0.0,0.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Cruz Verde,CRUZ VERDE,Retail Farmacia,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Decathlon,DECATHLON,Retail Deportes,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,2,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,2,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PC Factory,PC FACTORY,Retail Electro,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PJ Chile SpA,PJ CHILE SPA,Food & QSR,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Polla Chilena,POLLA,Juegos & Entretenimiento,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,2,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Reckitt,RECKITT,CPG Cuidado Personal,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Tenpo,TENPO,Fintech & Banca,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Tricot,TRICOT,Retail Vestuario,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Verisure,VERISURE,Servicios Hogar & Seguridad,Desarrollo,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.8,B,3,19718.0,0.499,0.016,0.81,0.739,0.1,37.818,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Decathlon,DECATHLON,Retail Deportes,Emergente,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.7,B,3,15497.0,0.365,0.059,0.765,0.972,0.1,37.727,1.0,1.0,3.4,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.7,B,3,15497.0,0.365,0.059,0.765,0.972,0.1,37.727,1.0,1.0,3.4,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Polla Chilena,POLLA,Juegos & Entretenimiento,Emergente,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.7,B,3,15497.0,0.365,0.059,0.765,0.972,0.1,37.727,1.0,1.0,3.4,0.667,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
SMU,SMU,Retail Supermercados,Emergente,Tech Services Ad Hoc,Tech Services Ad Hoc,Consultoria & Ad Hoc,Servicios Tech,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,37.6,B,13,3814.0,0.289,0.031,0.501,0.906,0.5,37.624,1.0,1.0,6.9,0.222,81.8,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Enex,ENEX,Energia & Combustibles,Desarrollo,C-GenIA,C-GenIA,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,12,18305.0,0.0,0.063,0.796,0.951,0.5,37.364,1.0,1.0,0.0,0.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Gasco,GASCO,Energia & Combustibles,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,3,19718.0,0.499,0.0,0.81,0.739,0.1,37.415,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,4,19718.0,0.499,0.0,0.81,0.739,0.1,37.415,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
LATAM Airlines,LATAM AERLINES,Travel & Aerolineas,Desarrollo,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,3,19718.0,0.499,0.0,0.81,0.739,0.1,37.415,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Lactalis,LACTALIS,CPG Alimentos,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,3,19718.0,0.499,0.0,0.81,0.739,0.1,37.415,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,C-GenIA,C-GenIA,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,13,18305.0,0.0,0.063,0.796,0.951,0.5,37.364,1.0,1.0,0.0,0.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Sky Airline,SKY AIRLINE,Travel & Aerolineas,Emergente,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,3,19718.0,0.499,0.0,0.81,0.739,0.1,37.415,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Watts,WATTS,CPG Alimentos,Desarrollo,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.4,B,4,19718.0,0.499,0.0,0.81,0.739,0.1,37.415,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,Performance Powered Conversions (ECL),Performance Powered Conversions (ECL),Data Collection & Activacion,Conversiones Avanzadas,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,37.3,B,14,1961.0,0.299,0.154,0.375,0.779,0.5,37.286,1.0,1.0,3.4,0.5,75.0,25.0,1,4,0.0,0.0,0.0,0.0,,,,,1 de 4 cuentas de automotriz ya lo ejecutan; servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
TUA,TUA,Por clasificar,Emergente,C-GenIA,C-GenIA,Creative Intelligence & GenAI,Creative GenAI,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.3,B,12,18305.0,0.0,0.059,0.796,0.951,0.5,37.26,1.0,1.0,0.0,0.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
WOM,WOM,Telco,Desarrollo,Online Data Optimization - E-commerce,Online Data Optimization - sites with E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Medio,BLANCO,Nunca ofrecido,Espacio blanco,37.2,B,5,7336.0,0.299,0.192,0.624,0.983,0.1,37.188,1.0,1.0,3.4,0.5,100.0,33.3,1,3,0.0,0.0,0.0,0.0,,,,,1 de 3 cuentas de telco ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Claro,CLARO,Telco,Estrategica,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,10,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,13,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Cruz Verde,CRUZ VERDE,Retail Farmacia,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Decathlon,DECATHLON,Retail Deportes,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Enex,ENEX,Energia & Combustibles,Desarrollo,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,13,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Escuela de Comercio y Servicio,ESCUELA DE COMERCIO Y SERVICIO,Educacion,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
GAES,GAES,Salud,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PC Factory,PC FACTORY,Retail Electro,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
PJ Chile SpA,PJ CHILE SPA,Food & QSR,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Parque Arauco,PARQUE ARAUCO,Real Estate & Malls,Estrategica,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,11,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Polla Chilena,POLLA,Juegos & Entretenimiento,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Porsche Group,PORSCHE GROUP,Automotriz,Desarrollo,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,15,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Reckitt,RECKITT,CPG Cuidado Personal,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
SMU,SMU,Retail Supermercados,Emergente,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,14,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
TUA,TUA,Por clasificar,Emergente,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,13,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Telefonica,TELEFONICA,Telco,Estrategica,1PD Integration,1PD Integration (until 15 sources) - Google,Data Collection & Activacion,First Party Data,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,11,12157.0,0.141,0.0,0.719,0.896,0.5,37.083,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Tenpo,TENPO,Fintech & Banca,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Tricot,TRICOT,Retail Vestuario,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Verisure,VERISURE,Servicios Hogar & Seguridad,Desarrollo,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,37.1,B,4,12477.0,0.499,0.016,0.724,0.805,0.1,37.061,1.0,1.0,3.4,1.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
SMU,SMU,Retail Supermercados,Emergente,Licencias GA4 360,Licencias GA4 360,Licencias & Plataformas,Licencias Analytics,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.8,B,15,25314.0,0.0,0.0,0.857,0.951,0.5,36.832,1.0,1.0,0.0,0.0,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Gasco,GASCO,Energia & Combustibles,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.1,36.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.7,B,5,12477.0,0.499,0.0,0.724,0.805,0.1,36.658,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
LATAM Airlines,LATAM AERLINES,Travel & Aerolineas,Desarrollo,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.1,36.658,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Lactalis,LACTALIS,CPG Alimentos,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.1,36.658,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Sky Airline,SKY AIRLINE,Travel & Aerolineas,Emergente,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.7,B,4,12477.0,0.499,0.0,0.724,0.805,0.1,36.658,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
Watts,WATTS,CPG Alimentos,Desarrollo,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,36.7,B,5,12477.0,0.499,0.0,0.724,0.805,0.1,36.658,1.0,1.0,3.4,1.0,100.0,0.0,0,2,0.0,0.0,0.0,0.0,,,,,Sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Construir caso con benchmark de la industria antes de pitchear
