servicio_normalizado,label_corto,service_name,familia,subfamilia,pilar,capability,origen,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,activo,penetracion_pct,win_rate,momentum_pct,valor_referencia_eur,valor_anual_eur,fuente_valor,srp_eur,ticket_mediano_eur,ticket_promedio_eur,revenue_eur,pitches,ganados,perdidos,abiertos,cuentas_con_servicio,cuentas_ofrecido,cuentas_blanco,ultimo_movimiento,dias_sin_movimiento
C-GenIA Intermediate Mens.,C-GenIA Intermediate Mens.,C-GenIA - Intermediate (500 images) per month,Platform Management & Operation,AI Content Creation,CSA - Tech,Tech,Latam COE,Mensual,Bajo,C-GenIA,ESCALABLE,2,True,0.0,,0.0,2999.9999999999995,35999.99999999999,SRP catalogo,2999.9999999999995,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
C-Perform mensual,C-Perform mensual,C- Perform - monthly access,Science Consulting,C- Perform,CSA - Science,Science,Global COE,Mensual,Medio,C- Perform,ESCALABLE,2,True,0.0,,0.0,4090.9090909090905,49090.90909090909,SRP catalogo,4090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Research Ad Hoc,Research Ad Hoc,Research Ad Hoc,Science Consulting,Others Units,CSA - Science,Research,Latam COE,Recurrente,A cotizar,solo:Research Ad Hoc,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Science Ad Hoc,Science Ad Hoc,Science Ad Hoc,Science Consulting,Ad Hoc Services,CSA - Science,Science,Global COE,Recurrente,A cotizar,solo:Science Ad Hoc,ACUMULABLE,1,True,0.0,0.0,100.0,30377.18,30377.18,Historico CL,,30377.18,30377.18,0.0,1.0,0.0,1.0,0.0,0,1,28,2026-04-17,132.0
ABCD Basic Anual,ABCD Basic Anual,ABCD Detector - Basic (20 Videos) Annual Subscription,Tech Consulting,AI Video,CSA - Tech,Creative Tech,Latam COE,Anual,Medio,ABCD Detector,ESCALABLE,1,True,0.0,,0.0,4727.272727272727,4727.272727272727,SRP catalogo,4727.272727272727,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
ABCD Basic Mensual,ABCD Basic Mensual,ABCD Detector - Basic (20 Videos) per month,Tech Consulting,AI Video,CSA - Tech,Creative Tech,Latam COE,Mensual,Bajo,ABCD Detector,ESCALABLE,1,True,0.0,0.0,75.0,3487.55,3487.55,Historico CL,636.3636363636363,3487.55,2923.2375,0.0,8.0,0.0,4.0,4.0,0,7,22,2026-07-20,38.0
ABCD Detector (Google),ABCD Detector (Google),ABCD Detector (Google implementation),Tech Consulting,AI Video,CSA - Tech,Creative Tech,Google,Proyecto,Alto,ABCD Detector,ESCALABLE,2,True,0.0,,0.0,6091.0,6091.0,SRP catalogo,6091.0,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
ABCD Enterprise Anual,ABCD Enterprise Anual,ABCD Detector - Enterprise (500 Videos) Annual Subscription,Tech Consulting,AI Video,CSA - Tech,Creative Tech,Latam COE,Anual,Alto,ABCD Detector,ESCALABLE,3,True,0.0,,0.0,16090.90909090909,16090.90909090909,SRP catalogo,16090.90909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
ABCD Enterprise Mensual,ABCD Enterprise Mensual,ABCD Detector - Enterprise (500 Videos) per month,Tech Consulting,AI Video,CSA - Tech,Creative Tech,Latam COE,Mensual,Bajo,ABCD Detector,ESCALABLE,3,True,0.0,,0.0,2090.9090909090905,25090.90909090909,SRP catalogo,2090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
ABCD Pro Anual,ABCD Pro Anual,ABCD Detector - Pro (100 Videos) Annual Subscription,Tech Consulting,AI Video,CSA - Tech,Creative Tech,Latam COE,Anual,Alto,ABCD Detector,ESCALABLE,2,True,0.0,,0.0,6636.363636363636,6636.363636363636,SRP catalogo,6636.363636363636,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
